,시장,티커,종목이름
684,KOSPI,071320,지역난방공사
685,KOSPI,010580,지코
686,KOSPI,035000,지투알
687,KOSPI,088790,진도
688,KOSPI,003780,진양산업
689,KOSPI,010640,진양폴리
690,KOSPI,100250,진양홀딩스
691,KOSPI,051630,진양화학
692,KOSPI,272450,진에어
693,KOSPI,011000,진원생명과학
694,KOSPI,002780,진흥기업
695,KOSPI,002787,진흥기업2우B
696,KOSPI,002785,진흥기업우B
697,KOSPI,009310,참엔지니어링
698,KOSPI,000650,천일고속
699,KOSPI,033250,체시스
700,KOSPI,035720,카카오
701,KOSPI,323410,카카오뱅크
702,KOSPI,006380,카프로
703,KOSPI,109070,컨버즈
704,KOSPI,001620,케이비아이동국실업
705,KOSPI,029460,케이씨
706,KOSPI,281820,케이씨텍
707,KOSPI,145270,케이탑리츠
708,KOSPI,357120,코람코에너지리츠
709,KOSPI,007815,코리아써우
710,KOSPI,007810,코리아써키트
711,KOSPI,00781K,코리아써키트2우B
712,KOSPI,003690,코리안리
713,KOSPI,192820,코스맥스
714,KOSPI,044820,코스맥스비티아이
715,KOSPI,005070,코스모신소재
716,KOSPI,005420,코스모화학
717,KOSPI,071950,코아스
718,KOSPI,002020,코오롱
719,KOSPI,003070,코오롱글로벌
720,KOSPI,003075,코오롱글로벌우
721,KOSPI,144620,코오롱머티리얼
722,KOSPI,002025,코오롱우
723,KOSPI,120110,코오롱인더
724,KOSPI,120115,코오롱인더우
725,KOSPI,138490,코오롱플라스틱
726,KOSPI,021240,코웨이
727,KOSPI,031820,콤텍시스템
728,KOSPI,192400,쿠쿠홀딩스
729,KOSPI,284740,쿠쿠홈시스
730,KOSPI,015590,큐로
731,KOSPI,264900,크라운제과
732,KOSPI,26490K,크라운제과우
733,KOSPI,005740,크라운해태홀딩스
734,KOSPI,005745,크라운해태홀딩스우
735,KOSPI,259960,크래프톤
736,KOSPI,020120,키다리스튜디오
737,KOSPI,039490,키움증권
738,KOSPI,014580,태경비케이
739,KOSPI,015890,태경산업
740,KOSPI,006890,태경케미컬
741,KOSPI,003240,태광산업
742,KOSPI,011280,태림포장
743,KOSPI,004100,태양금속
744,KOSPI,004105,태양금속우
745,KOSPI,009410,태영건설
746,KOSPI,009415,태영건설우
747,KOSPI,001420,태원물산
748,KOSPI,007980,태평양물산
749,KOSPI,055490,테이팩스
750,KOSPI,078000,텔코웨어
751,KOSPI,214420,토니모리
752,KOSPI,019180,티에이치엔
753,KOSPI,363280,티와이홀딩스
754,KOSPI,36328K,티와이홀딩스우
755,KOSPI,091810,티웨이항공
756,KOSPI,004870,티웨이홀딩스
757,KOSPI,005690,파미셀
758,KOSPI,036580,팜스코
759,KOSPI,004720,팜젠사이언스
760,KOSPI,028670,팬오션
761,KOSPI,010820,퍼스텍
762,KOSPI,016800,퍼시스
763,KOSPI,001020,페이퍼코리아
764,KOSPI,090080,평화산업
765,KOSPI,010770,평화홀딩스
766,KOSPI,058430,포스코강판
767,KOSPI,047050,포스코인터내셔널
768,KOSPI,003670,포스코케미칼
769,KOSPI,007630,폴루스바이오팜
770,KOSPI,017810,풀무원
771,KOSPI,103140,풍산
772,KOSPI,005810,풍산홀딩스
773,KOSPI,950210,프레스티지바이오파마
774,KOSPI,086790,하나금융지주
775,KOSPI,293480,하나제약
776,KOSPI,039130,하나투어
777,KOSPI,172580,하이골드12호
778,KOSPI,153360,하이골드3호
779,KOSPI,352820,하이브
780,KOSPI,071090,하이스틸
781,KOSPI,019490,하이트론
782,KOSPI,000080,하이트진로
783,KOSPI,000087,하이트진로2우B
784,KOSPI,000140,하이트진로홀딩스
785,KOSPI,000145,하이트진로홀딩스우
786,KOSPI,152550,한국ANKOR유전
787,KOSPI,036460,한국가스공사
788,KOSPI,005430,한국공항
789,KOSPI,071050,한국금융지주
790,KOSPI,071055,한국금융지주우
791,KOSPI,010040,한국내화
792,KOSPI,025540,한국단자
793,KOSPI,004090,한국석유
794,KOSPI,002200,한국수출포장
795,KOSPI,002960,한국쉘석유
796,KOSPI,000240,한국앤컴퍼니
797,KOSPI,123890,한국자산신탁
798,KOSPI,015760,한국전력
799,KOSPI,006200,한국전자홀딩스
800,KOSPI,009540,한국조선해양
801,KOSPI,023350,한국종합기술
802,KOSPI,025890,한국주강
803,KOSPI,000970,한국주철관
804,KOSPI,104700,한국철강
805,KOSPI,017960,한국카본
806,KOSPI,161890,한국콜마
807,KOSPI,024720,한국콜마홀딩스
808,KOSPI,161390,한국타이어앤테크놀로지
809,KOSPI,034830,한국토지신탁
810,KOSPI,007280,한국특강
811,KOSPI,168490,한국패러랠
812,KOSPI,010100,한국프랜지
813,KOSPI,047810,한국항공우주
814,KOSPI,123690,한국화장품
815,KOSPI,003350,한국화장품제조
816,KOSPI,011500,한농화성
817,KOSPI,002390,한독
818,KOSPI,014790,한라
819,KOSPI,060980,한라홀딩스
820,KOSPI,053690,한미글로벌
821,KOSPI,042700,한미반도체
822,KOSPI,008930,한미사이언스
823,KOSPI,128940,한미약품
824,KOSPI,009240,한샘
825,KOSPI,020000,한섬
826,KOSPI,003680,한성기업
827,KOSPI,105630,한세실업
828,KOSPI,069640,한세엠케이
829,KOSPI,016450,한세예스24홀딩스
830,KOSPI,010420,한솔PNS
831,KOSPI,009180,한솔로지스틱스
832,KOSPI,213500,한솔제지
833,KOSPI,014680,한솔케미칼
834,KOSPI,004710,한솔테크닉스
835,KOSPI,004150,한솔홀딩스
836,KOSPI,025750,한솔홈데코
837,KOSPI,004960,한신공영
838,KOSPI,011700,한신기계
839,KOSPI,001750,한양증권
840,KOSPI,001755,한양증권우
841,KOSPI,018880,한온시스템
842,KOSPI,009420,한올바이오파마
843,KOSPI,014130,한익스프레스
844,KOSPI,300720,한일시멘트
845,KOSPI,002220,한일철강
846,KOSPI,006390,한일현대시멘트
847,KOSPI,003300,한일홀딩스
848,KOSPI,051600,한전KPS
849,KOSPI,052690,한전기술
850,KOSPI,130660,한전산업
851,KOSPI,002320,한진
852,KOSPI,097230,한진중공업
853,KOSPI,003480,한진중공업홀딩스
854,KOSPI,180640,한진칼
855,KOSPI,18064K,한진칼우
856,KOSPI,005110,한창
857,KOSPI,009460,한창제지
858,KOSPI,372910,한컴라이프케어
859,KOSPI,000880,한화
860,KOSPI,00088K,한화3우B
861,KOSPI,088350,한화생명
862,KOSPI,000370,한화손해보험
863,KOSPI,009830,한화솔루션
864,KOSPI,009835,한화솔루션우
865,KOSPI,272210,한화시스템
866,KOSPI,012450,한화에어로스페이스
867,KOSPI,000885,한화우
868,KOSPI,003530,한화투자증권
869,KOSPI,003535,한화투자증권우
870,KOSPI,195870,해성디에스
871,KOSPI,101530,해태제과식품
872,KOSPI,143210,핸즈코퍼레이션
873,KOSPI,000720,현대건설
874,KOSPI,267270,현대건설기계
875,KOSPI,000725,현대건설우
876,KOSPI,005440,현대그린푸드
877,KOSPI,086280,현대글로비스
878,KOSPI,064350,현대로템
879,KOSPI,079430,현대리바트
880,KOSPI,012330,현대모비스
881,KOSPI,010620,현대미포조선
882,KOSPI,069960,현대백화점
883,KOSPI,004560,현대비앤지스틸
884,KOSPI,004565,현대비앤지스틸우
885,KOSPI,004310,현대약품
886,KOSPI,322000,현대에너지솔루션
887,KOSPI,017800,현대엘리베이
888,KOSPI,307950,현대오토에버
889,KOSPI,011210,현대위아
890,KOSPI,267260,현대일렉트릭
891,KOSPI,004020,현대제철
892,KOSPI,267250,현대중공업지주
893,KOSPI,005380,현대차
894,KOSPI,005387,현대차2우B
895,KOSPI,005389,현대차3우B
896,KOSPI,005385,현대차우
897,KOSPI,001500,현대차증권
898,KOSPI,011760,현대코퍼레이션
899,KOSPI,227840,현대코퍼레이션홀딩스
900,KOSPI,126560,현대퓨처넷
901,KOSPI,001450,현대해상
902,KOSPI,057050,현대홈쇼핑
903,KOSPI,093240,형지엘리트
904,KOSPI,003010,혜인
905,KOSPI,111110,호전실업
906,KOSPI,008770,호텔신라
907,KOSPI,008775,호텔신라우
908,KOSPI,002460,화성산업
909,KOSPI,378850,화승알앤에이
910,KOSPI,241590,화승엔터프라이즈
911,KOSPI,006060,화승인더
912,KOSPI,013520,화승코퍼레이션
913,KOSPI,010690,화신
914,KOSPI,133820,화인베스틸
915,KOSPI,010660,화천기계
916,KOSPI,000850,화천기공
917,KOSPI,016580,환인제약
918,KOSPI,032560,황금에스티
919,KOSPI,004800,효성
920,KOSPI,094280,효성ITX
921,KOSPI,298040,효성중공업
922,KOSPI,298050,효성첨단소재
923,KOSPI,298020,효성티앤씨
924,KOSPI,298000,효성화학
925,KOSPI,093370,후성
926,KOSPI,081660,휠라홀딩스
927,KOSPI,005870,휴니드
928,KOSPI,079980,휴비스
929,KOSPI,005010,휴스틸
930,KOSPI,069260,휴켐스
931,KOSPI,000540,흥국화재
932,KOSPI,000547,흥국화재2우B
933,KOSPI,000545,흥국화재우
934,KOSPI,003280,흥아해운
935,KOSDAQ,060310,3S
936,KOSDAQ,054620,APS홀딩스
937,KOSDAQ,265520,AP시스템
938,KOSDAQ,211270,AP위성
939,KOSDAQ,013720,CBI
940,KOSDAQ,035760,CJ ENM
941,KOSDAQ,051500,CJ프레시웨이
942,KOSDAQ,058820,CMG제약
943,KOSDAQ,023460,CNH
944,KOSDAQ,056730,CNT85
945,KOSDAQ,056000,COWON
946,KOSDAQ,065770,CS
947,KOSDAQ,083660,CSA 코스믹
948,KOSDAQ,367340,DB금융스팩8호
949,KOSDAQ,367360,DB금융스팩9호
950,KOSDAQ,068790,DMS
951,KOSDAQ,241520,DSC인베스트먼트
952,KOSDAQ,245620,EDGC
953,KOSDAQ,037370,EG
954,KOSDAQ,079190,EMW
955,KOSDAQ,050120,ES큐브
956,KOSDAQ,130500,GH신소재
957,KOSDAQ,900290,GRT
958,KOSDAQ,083450,GST
959,KOSDAQ,045890,GV
960,KOSDAQ,297890,HB솔루션
961,KOSDAQ,078150,HB테크놀러지
962,KOSDAQ,195940,HK이노엔
963,KOSDAQ,036640,HRS
964,KOSDAQ,335870,IBKS제12호스팩
965,KOSDAQ,351340,IBKS제13호스팩
966,KOSDAQ,351320,IBKS제14호스팩
967,KOSDAQ,373200,IBKS제15호스팩
968,KOSDAQ,095340,ISC
969,KOSDAQ,099520,ITX-AI
970,KOSDAQ,950170,JTC
971,KOSDAQ,067290,JW신약
972,KOSDAQ,035900,JYP Ent.
973,KOSDAQ,024840,KBI메탈
974,KOSDAQ,024120,KB오토시스
975,KOSDAQ,021320,KCC건설
976,KOSDAQ,036670,KCI
977,KOSDAQ,044180,KD
978,KOSDAQ,151860,KG ETS
979,KOSDAQ,046440,KG모빌리언스
980,KOSDAQ,035600,KG이니시스
981,KOSDAQ,226360,KH E&T
982,KOSDAQ,111870,KH 일렉트론
983,KOSDAQ,060720,KH바텍
984,KOSDAQ,122450,KMH
985,KOSDAQ,052900,KMH하이텍
986,KOSDAQ,058400,KNN
987,KOSDAQ,114450,KPX생명과학
988,KOSDAQ,060370,KT서브마린
989,KOSDAQ,108320,LX세미콘
990,KOSDAQ,160550,NEW
991,KOSDAQ,053290,NE능률
992,KOSDAQ,104200,NHN벅스
993,KOSDAQ,060250,NHN한국사이버결제
994,KOSDAQ,030190,NICE평가정보
995,KOSDAQ,078590,OQP
996,KOSDAQ,024940,PN풍년
997,KOSDAQ,218410,RFHIC
998,KOSDAQ,327260,RF머트리얼즈
999,KOSDAQ,091340,S&K폴리텍
1000,KOSDAQ,019550,SBI인베스트먼트
1001,KOSDAQ,950110,SBI핀테크솔루션즈
1002,KOSDAQ,046140,SBS콘텐츠허브
1003,KOSDAQ,036120,SCI평가정보
1004,KOSDAQ,099220,SDN
1005,KOSDAQ,036540,SFA반도체
1006,KOSDAQ,255220,SG
1007,KOSDAQ,040610,SG&G
1008,KOSDAQ,049470,SGA
1009,KOSDAQ,184230,SGA솔루션즈
1010,KOSDAQ,016250,SGC이테크건설
1011,KOSDAQ,337450,SK5호스팩
1012,KOSDAQ,340350,SK6호스팩
1013,KOSDAQ,036490,SK머티리얼즈
1014,KOSDAQ,048550,SM C&C
1015,KOSDAQ,063440,SM Life Design
1016,KOSDAQ,950180,SNK
1017,KOSDAQ,289080,SV인베스트먼트
1018,KOSDAQ,089230,THE E&M
1019,KOSDAQ,161570,THE MIDONG
1020,KOSDAQ,192410,THQ
1021,KOSDAQ,032540,TJ미디어
1022,KOSDAQ,048770,TPC
1023,KOSDAQ,246690,TS인베스트먼트
1024,KOSDAQ,317240,TS트릴리온
1025,KOSDAQ,038340,UCI
1026,KOSDAQ,073570,WI
1027,KOSDAQ,057030,YBM넷
1028,KOSDAQ,040300,YTN
1029,KOSDAQ,051390,YW
1030,KOSDAQ,052220,iMBC
1031,KOSDAQ,079940,가비아
1032,KOSDAQ,078890,가온미디어
1033,KOSDAQ,036620,감성코퍼레이션
1034,KOSDAQ,217730,강스템바이오텍
1035,KOSDAQ,114190,강원
1036,KOSDAQ,094480,갤럭시아머니트리
1037,KOSDAQ,063080,게임빌
1038,KOSDAQ,039240,경남스틸
1039,KOSDAQ,053950,경남제약
1040,KOSDAQ,223310,경남제약헬스케어
1041,KOSDAQ,011040,경동제약
1042,KOSDAQ,024910,경창산업
1043,KOSDAQ,198440,고려시멘트
1044,KOSDAQ,049720,고려신용정보
1045,KOSDAQ,014570,고려제약
1046,KOSDAQ,348150,고바이오랩
1047,KOSDAQ,098460,고영
1048,KOSDAQ,035290,골드앤에스
1049,KOSDAQ,038530,골드퍼시픽
1050,KOSDAQ,900280,골든센츄리
1051,KOSDAQ,215000,골프존
1052,KOSDAQ,121440,골프존뉴딘홀딩스
1053,KOSDAQ,014200,광림
1054,KOSDAQ,026910,광진실업
1055,KOSDAQ,090150,광진윈텍
1056,KOSDAQ,355150,교보10호스팩
1057,KOSDAQ,331520,교보9호스팩
1058,KOSDAQ,053270,구영테크
1059,KOSDAQ,066620,국보디자인
1060,KOSDAQ,043650,국순당
1061,KOSDAQ,006050,국영지앤엠
1062,KOSDAQ,060480,국일신동
1063,KOSDAQ,078130,국일제지
1064,KOSDAQ,307750,국전약품
1065,KOSDAQ,204020,그리티
1066,KOSDAQ,186230,그린플러스
1067,KOSDAQ,900070,글로벌에스엠
1068,KOSDAQ,204620,글로벌텍스프리
1069,KOSDAQ,019660,글로본
1070,KOSDAQ,053260,금강철강
1071,KOSDAQ,036190,금화피에스시
1072,KOSDAQ,049080,기가레인
1073,KOSDAQ,035460,기산텔레콤
1074,KOSDAQ,308100,까스텔바작
1075,KOSDAQ,187790,나노
1076,KOSDAQ,286750,나노브릭
1077,KOSDAQ,151910,나노스
1078,KOSDAQ,121600,나노신소재
1079,KOSDAQ,247660,나노씨엠에스
1080,KOSDAQ,039860,나노엔텍
1081,KOSDAQ,091970,나노캠텍
1082,KOSDAQ,051490,나라엠앤디
1083,KOSDAQ,190510,나무가
1084,KOSDAQ,242040,나무기술
1085,KOSDAQ,089600,나스미디어
1086,KOSDAQ,293580,나우IB
1087,KOSDAQ,138610,나이벡
1088,KOSDAQ,130580,나이스디앤비
1089,KOSDAQ,036800,나이스정보통신
1090,KOSDAQ,267320,나인테크
1091,KOSDAQ,111710,남화산업
1092,KOSDAQ,091590,남화토건
1093,KOSDAQ,168330,내츄럴엔도텍
1094,KOSDAQ,094860,네오리진
1095,KOSDAQ,253590,네오셈
1096,KOSDAQ,212560,네오오토
1097,KOSDAQ,095660,네오위즈
1098,KOSDAQ,042420,네오위즈홀딩스
1099,KOSDAQ,950220,네오이뮨텍(Reg.S)
1100,KOSDAQ,311390,네오크레마
1101,KOSDAQ,085910,네오티스
1102,KOSDAQ,092730,네오팜
1103,KOSDAQ,290660,네오펙트
1104,KOSDAQ,306620,네온테크
1105,KOSDAQ,153460,네이블
1106,KOSDAQ,007390,네이처셀
1107,KOSDAQ,033640,네패스
1108,KOSDAQ,330860,네패스아크
1109,KOSDAQ,089140,넥스턴바이오
1110,KOSDAQ,065170,넥스트BT
1111,KOSDAQ,137940,넥스트아이
1112,KOSDAQ,348210,넥스틴
1113,KOSDAQ,041140,넥슨지티
1114,KOSDAQ,217270,넵튠
1115,KOSDAQ,225570,넷게임즈
1116,KOSDAQ,104620,노랑풍선
1117,KOSDAQ,194700,노바렉스
1118,KOSDAQ,285490,노바텍
1119,KOSDAQ,278650,노터스
1120,KOSDAQ,144510,녹십자랩셀
1121,KOSDAQ,031390,녹십자셀
1122,KOSDAQ,142280,녹십자엠에스
1123,KOSDAQ,234690,녹십자웰빙
1124,KOSDAQ,065560,녹원씨엔아이
1125,KOSDAQ,054050,농우바이오
1126,KOSDAQ,069140,누리플랜
1127,KOSDAQ,040160,누리플렉스
1128,KOSDAQ,126870,뉴로스
1129,KOSDAQ,060260,뉴보텍
1130,KOSDAQ,012340,뉴인텍
1131,KOSDAQ,214870,뉴지랩파마
1132,KOSDAQ,270870,뉴트리
1133,KOSDAQ,144960,뉴파워프라즈마
1134,KOSDAQ,085670,뉴프렉스
1135,KOSDAQ,119860,다나와
1136,KOSDAQ,064260,다날
1137,KOSDAQ,093640,다믈멀티미디어
1138,KOSDAQ,340360,다보링크
1139,KOSDAQ,039560,다산네트웍스
1140,KOSDAQ,032190,다우데이타
1141,KOSDAQ,068240,다원시스
1142,KOSDAQ,020400,대동금속
1143,KOSDAQ,008830,대동기어
1144,KOSDAQ,048470,대동스틸
1145,KOSDAQ,004780,대륙제관
1146,KOSDAQ,017650,대림제지
1147,KOSDAQ,007720,대명소노시즌
1148,KOSDAQ,317850,대모
1149,KOSDAQ,290670,대보마그네틱
1150,KOSDAQ,078140,대봉엘에스
1151,KOSDAQ,036480,대성미생물
1152,KOSDAQ,025440,대성엘텍
1153,KOSDAQ,027830,대성창투
1154,KOSDAQ,104040,대성파인텍
1155,KOSDAQ,332290,대신밸런스제7호스팩
1156,KOSDAQ,336570,대신밸런스제8호스팩
1157,KOSDAQ,369370,대신밸런스제9호스팩
1158,KOSDAQ,020180,대신정보통신
1159,KOSDAQ,045390,대아티아이
1160,KOSDAQ,108380,대양전기공업
1161,KOSDAQ,006580,대양제지
1162,KOSDAQ,007680,대원
1163,KOSDAQ,048910,대원미디어
1164,KOSDAQ,005710,대원산업
1165,KOSDAQ,290380,대유
1166,KOSDAQ,290120,대유에이피
1167,KOSDAQ,120240,대정화금
1168,KOSDAQ,003310,대주산업
1169,KOSDAQ,078600,대주전자재료
1170,KOSDAQ,096350,대창솔루션
1171,KOSDAQ,140520,대창스틸
1172,KOSDAQ,131220,대한과학
1173,KOSDAQ,010170,대한광통신
1174,KOSDAQ,060900,대한그린파워
1175,KOSDAQ,054670,대한뉴팜
1176,KOSDAQ,023910,대한약품
1177,KOSDAQ,021040,대호특수강
1178,KOSDAQ,021045,대호특수강우
1179,KOSDAQ,067080,대화제약
1180,KOSDAQ,298540,더네이쳐홀딩스
1181,KOSDAQ,299170,더블유에스아이
1182,KOSDAQ,213420,덕산네오룩스
1183,KOSDAQ,317330,덕산테코피아
1184,KOSDAQ,077360,덕산하이메탈
1185,KOSDAQ,090410,덕신하우징
1186,KOSDAQ,263600,덕우전자
1187,KOSDAQ,194480,데브시스터즈
1188,KOSDAQ,263800,데이타솔루션
1189,KOSDAQ,206560,덱스터
1190,KOSDAQ,261200,덴티스
1191,KOSDAQ,067990,도이치모터스
1192,KOSDAQ,006620,동구바이오제약
1193,KOSDAQ,100130,동국S&C
1194,KOSDAQ,005160,동국산업
1195,KOSDAQ,075970,동국알앤에스
1196,KOSDAQ,086450,동국제약
1197,KOSDAQ,099410,동방선기
1198,KOSDAQ,033500,동성화인텍
1199,KOSDAQ,025950,동신건설
1200,KOSDAQ,088130,동아엘텍
1201,KOSDAQ,041930,동아화성
1202,KOSDAQ,060380,동양에스텍
1203,KOSDAQ,079960,동양이엔피
1204,KOSDAQ,228340,동양파일
1205,KOSDAQ,088910,동우팜투테이블
1206,KOSDAQ,094170,동운아나텍
1207,KOSDAQ,013120,동원개발
1208,KOSDAQ,109860,동일금속
1209,KOSDAQ,032960,동일기연
1210,KOSDAQ,023790,동일철강
1211,KOSDAQ,005290,동진쎄미켐
1212,KOSDAQ,025900,동화기업
1213,KOSDAQ,073190,듀오백
1214,KOSDAQ,030350,드래곤플라이
1215,KOSDAQ,203650,드림시큐리티
1216,KOSDAQ,223250,드림씨아이에스
1217,KOSDAQ,060570,드림어스컴퍼니
1218,KOSDAQ,217620,디딤
1219,KOSDAQ,187870,디바이스이엔지
1220,KOSDAQ,066670,디스플레이텍
1221,KOSDAQ,110990,디아이티
1222,KOSDAQ,263690,디알젬
1223,KOSDAQ,214680,디알텍
1224,KOSDAQ,263720,디앤씨미디어
1225,KOSDAQ,109740,디에스케이
1226,KOSDAQ,033430,디에스티
1227,KOSDAQ,131030,디에이치피코리아
1228,KOSDAQ,196490,디에이테크놀로지
1229,KOSDAQ,066900,디에이피
1230,KOSDAQ,127120,디엔에이링크
1231,KOSDAQ,092070,디엔에프
1232,KOSDAQ,134580,디엠티
1233,KOSDAQ,039840,디오
1234,KOSDAQ,104460,디와이피엔에프
1235,KOSDAQ,079810,디이엔티
1236,KOSDAQ,227100,디자인
1237,KOSDAQ,113810,디젠스
1238,KOSDAQ,043360,디지아이
1239,KOSDAQ,197140,디지캡
1240,KOSDAQ,106520,디지탈옵틱
1241,KOSDAQ,068930,디지털대성
1242,KOSDAQ,033130,디지틀조선
1243,KOSDAQ,105740,디케이락
1244,KOSDAQ,263020,디케이앤디
1245,KOSDAQ,290550,디케이티
1246,KOSDAQ,187220,디티앤씨
1247,KOSDAQ,131180,딜리
1248,KOSDAQ,315640,딥노이드
1249,KOSDAQ,317120,라닉스
1250,KOSDAQ,042510,라온시큐어
1251,KOSDAQ,232680,라온테크
1252,KOSDAQ,300120,라온피플
1253,KOSDAQ,171120,라이온켐텍
1254,KOSDAQ,069540,라이트론
1255,KOSDAQ,347700,라이프시맨틱스
1256,KOSDAQ,214260,라파스
1257,KOSDAQ,171010,램테크놀러지
1258,KOSDAQ,084650,랩지노믹스
1259,KOSDAQ,217500,러셀
1260,KOSDAQ,141080,레고켐바이오
1261,KOSDAQ,060300,레드로버
1262,KOSDAQ,038390,레드캡투어
1263,KOSDAQ,294140,레몬
1264,KOSDAQ,228670,레이
1265,KOSDAQ,228850,레이언스
1266,KOSDAQ,281740,레이크머티리얼즈
1267,KOSDAQ,277810,레인보우로보틱스
1268,KOSDAQ,215100,로보로보
1269,KOSDAQ,090360,로보스타
1270,KOSDAQ,108490,로보티즈
1271,KOSDAQ,900260,로스웰
1272,KOSDAQ,067730,로지시스
1273,KOSDAQ,071280,로체시스템즈
1274,KOSDAQ,038060,루멘스
1275,KOSDAQ,085370,루트로닉
1276,KOSDAQ,08537M,루트로닉3우C
1277,KOSDAQ,060240,룽투코리아
1278,KOSDAQ,058470,리노공업
1279,KOSDAQ,039980,리노스
1280,KOSDAQ,019570,리더스 기술투자
1281,KOSDAQ,016100,리더스코스메틱
1282,KOSDAQ,012700,리드코프
1283,KOSDAQ,302550,리메드
1284,KOSDAQ,029480,릭스솔루션
1285,KOSDAQ,277070,린드먼아시아
1286,KOSDAQ,042500,링네트
1287,KOSDAQ,219420,링크제니시스
1288,KOSDAQ,195500,마니커에프앤지
1289,KOSDAQ,222810,마이더스AI
1290,KOSDAQ,305090,마이크로디지탈
1291,KOSDAQ,098120,마이크로컨텍솔
1292,KOSDAQ,147760,마이크로프랜드
1293,KOSDAQ,038290,마크로젠
1294,KOSDAQ,220630,맘스터치
1295,KOSDAQ,267980,매일유업
1296,KOSDAQ,005990,매일홀딩스
1297,KOSDAQ,127160,매직마이크로
1298,KOSDAQ,093520,매커스
1299,KOSDAQ,141070,맥스로텍
1300,KOSDAQ,377030,맥스트
1301,KOSDAQ,100590,머큐리
1302,KOSDAQ,067280,멀티캠퍼스
1303,KOSDAQ,072870,메가스터디
1304,KOSDAQ,215200,메가스터디교육
1305,KOSDAQ,133750,메가엠디
1306,KOSDAQ,235980,메드팩토
1307,KOSDAQ,041920,메디아나
1308,KOSDAQ,014100,메디앙스
1309,KOSDAQ,054180,메디콕스
1310,KOSDAQ,086900,메디톡스
1311,KOSDAQ,078160,메디포스트
1312,KOSDAQ,065650,메디프론
1313,KOSDAQ,021880,메이슨캐피탈
1314,KOSDAQ,140410,메지온
1315,KOSDAQ,241770,메카로
1316,KOSDAQ,059210,메타바이오메드
1317,KOSDAQ,058110,멕아이씨에스
1318,KOSDAQ,096640,멜파스
1319,KOSDAQ,257370,명성티엔에스
1320,KOSDAQ,080420,모다이노칩
1321,KOSDAQ,080160,모두투어
1322,KOSDAQ,100030,모바일리더
1323,KOSDAQ,087260,모바일어플라이언스
1324,KOSDAQ,101330,모베이스
1325,KOSDAQ,012860,모베이스전자
1326,KOSDAQ,348030,모비릭스
